name;base_fond;science_fond;ams;n_buildings;n_days;guests;employees
Русский музей фотографии;197914;13438;152364;1;312;29.7;21
Гос.музей изоискусств Респ. Карелия;15012;1074;16086;2;312;58.3;51
Шелтозерский вепсский этнографический музей им.Р.П.Лонина;6394;3052;30;2;306;7.1;4
Национальный музей Республики Карелия;176668;38158;174688;4;312;57.5;79
Беломорский краеведческий музей;3905;2195;801;2;320;7.5;7
Семеновский ист.-художественный музей;20188;6568;1447;6;345;85.8;36
Литературно-мемориальный  музей А.М.Горького;104943;9793;23418;1;265;28.2;29
Нижегородский литературно-мем.музей Н.Добролюбова;16299;4450;0;2;360;29.6;24
Нижегородский гос.художественный музей;10716;651;9780;2;312;118;100
Богородский исторический музей;8278;4196;0;1;342;21.6;5
Арзамасский ист.-художественный музей;34103;2910;1337;4;308;39;25
Арзамасский литературно-мемориальный музей А.П.Гайдара;11746;11964;2380;3;248;17.6;17
Балахнинский музейный историко-художественный комплекс;15768;3070;1779;10;310;25.7;47
"Гос.музей-заповедник А.С.Пушкина ""Болдино""";8035;9830;0;22;323;67.5;83
Ветлужский краеведческий музей;10157;4613;713;1;303;6.2;7
Самарский обл.краеведческий музей им.Алабина;169510;47943;198091;1;301;160.7;137
Тольяттинский художественный музей;8672;1018;4667;2;330;49.6;29
Гос.мемориальный музей А.Скрябина;7650;20136;27786;2;268;27.7;57
"Гос.музей керамики и ""Усадьба Кусково""";46875;3723;17628;31;272;532.9;142
"Гос.литературный музей ""XX век""";12376;6659;12365;2;284;5;21
Музей истории г.Шлиссельбурга;4843;960;5803;1;253;6.5;6
"Мем.музей ""Разночинный Петербург""";36478;14400;50379;4;276;48.8;31
Санкт-Петербургский музей хлеба;10222;11364;2683;1;260;32.8;33
"Гос.музей ""Нарвская застава""";23701;12099;4050;1;240;9.1;33
Тосненский историко-краеведческий музей;3002;3328;6330;1;251;5.5;10
"Гос.ист.-арх.и прир.зап.""Парк Монрепо""";3036;3519;6555;10;365;146.8;71
Музей истории Кронштадта;5281;4795;9635;16;336;76.9;68
"Музей ""Анна Ахматова. Серебряный век""";22499;20791;9281;1;302;14.9;23
Холмский историко-культурный центр;3452;3190;3400;1;350;18;17
Сахалинский обл.художественный музей;11491;3074;14041;2;311;38.2;57
Ногликский краеведческий музей;8157;1679;5207;1;239;9;12
Южно-Курильский краеведческий музей им.Ф.И.Пыжьянова;2073;5532;1341;1;247;5.2;6
"Историко-литературный музей ""А.П.Чехов и Сахалин""";14993;5660;12960;10;247;13.6;27
Поронайский краеведческий музей;33572;37295;6878;1;247;11.9;10
Троицкий историко-краеведческий музей;3358;2150;1207;1;209;3.8;5
Свердловский обл.краеведческий музей;498580;234828;328580;9;343;219.1;256
Нижнесинячихинский музей-заповедник деревянного зодчества и народного искусства им.И.Д.Самойлова;7222;350;940;23;360;60;48
Верхотурский гос.историко-архитектурный музей-заповедник;13267;29231;2336;4;247;56.4;38
Тавдинский музей лесной и деревообрабатывающей промышленности;7345;9121;0;2;247;13.9;7
Ивдельский ист.-этнографический музей;7271;2637;0;1;257;11.6;6
Ирбитский историко-этнографический музей;14262;8952;0;2;271;15.3;18
Камышловский краеведческий музей;5001;5394;1384;1;300;14.7;10
Каменск-Уральский краеведческий музей;54410;22159;861;3;316;39.5;24
Краснотурьинский краеведческий музей;203713;7061;42000;4;247;48;25
Североуральский краеведческий музей;11399;4000;415;2;247;6.7;7
Мем.музей-усадьба Н.А.Римского-Корсакова;2095;2709;2572;6;314;10.7;11
Медвежьегорский краеведческий музей;10217;6106;25;1;310;5.2;7
Олонецкий национальный музей;15618;5616;473;2;280;14.7;18
Музей Кондопожского края;3599;345;631;2;245;21.2;5
Пудожский историко-краеведческий музей;9516;5285;905;1;249;10;9
Музейный центр города Сегежи;6983;3011;0;1;274;12;8
Питкярантский гор.краеведческий музей;4861;4086;1621;1;268;1.4;11
